Territory,Year,Scenario,Connection,Type,Capacity(MW),AC/DC,Estimated/Confirmed,Installed/Decomissioned
Albania,2023,Historical Primary,Total,Annual,1,DC,Estimated,Installed
Albania,2023,Historical Primary,Distributed,Annual,1,DC,Estimated,Installed
Albania,2024,Historical Primary,Total,Annual,100,DC,Confirmed,Installed
Albania,2024,Historical Primary,Distributed,Annual,50,DC,Estimated,Installed
Albania,2024,Historical Primary,Centralised,Annual,50,DC,Estimated,Installed
Algeria,2009,Historical Primary,Total,Annual,4.1,DC,Confirmed,Installed
Algeria,2009,Historical Primary,Distributed,Annual,1.845,DC,Confirmed,Installed
Algeria,2009,Historical Primary,Centralised,Annual,1.845,DC,Confirmed,Installed
Algeria,2009,Historical Primary,Off-grid,Annual,0.41,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Total,Annual,3,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Distributed,Annual,1.35,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Centralised,Annual,1.35,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Off-grid,Annual,0.3,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Total,Annual,8.1,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Distributed,Annual,3.645,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Centralised,Annual,3.645,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Off-grid,Annual,0.81,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Total,Annual,2.4,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Distributed,Annual,1.08,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Centralised,Annual,1.08,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Off-grid,Annual,0.24,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Total,Annual,60.4,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Distributed,Annual,27.18,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Centralised,Annual,27.18,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Off-grid,Annual,6.04,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Total,Annual,190,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Distributed,Annual,88.15,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Centralised,Annual,88.15,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Off-grid,Annual,13.7,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Total,Annual,54,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Distributed,Annual,24.3,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Centralised,Annual,24.3,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Off-grid,Annual,5.4,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Total,Annual,97,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Distributed,Annual,41,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Centralised,Annual,41,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Off-grid,Annual,15,DC,Confirmed,Installed
Algeria,2018,Historical Primary,Total,Annual,100,DC,Confirmed,Installed
Algeria,2018,Historical Primary,Distributed,Annual,50,DC,Estimated,Installed
Algeria,2018,Historical Primary,Centralised,Annual,50,DC,Estimated,Installed
Algeria,2022,Historical Primary,Total,Annual,59,DC,Confirmed,Installed
Algeria,2022,Historical Primary,Distributed,Annual,29.5,DC,Estimated,Installed
Algeria,2022,Historical Primary,Centralised,Annual,29.5,DC,Estimated,Installed
Algeria,2023,Historical Primary,Total,Annual,8,DC,Confirmed,Installed
Algeria,2023,Historical Primary,Distributed,Annual,4,DC,Confirmed,Installed
Algeria,2023,Historical Primary,Centralised,Annual,4,DC,Confirmed,Installed
Algeria,2024,Historical Primary,Total,Annual,8,DC,Estimated,Installed
Algeria,2024,Historical Primary,Distributed,Annual,4,DC,Estimated,Installed
Algeria,2024,Historical Primary,Centralised,Annual,4,DC,Estimated,Installed
Argentina,2011,Historical Primary,Total,Annual,1.02,DC,Confirmed,Installed
Argentina,2011,Historical Primary,Centralised,Annual,0.9,DC,Confirmed,Installed
Argentina,2011,Historical Primary,Off-grid,Annual,0.12,DC,Confirmed,Installed
Argentina,2012,Historical Primary,Total,Annual,5,DC,Confirmed,Installed
Argentina,2012,Historical Primary,Centralised,Annual,4.5,DC,Confirmed,Installed
Argentina,2012,Historical Primary,Off-grid,Annual,0.5,DC,Confirmed,Installed
Argentina,2013,Historical Primary,Total,Annual,2,DC,Confirmed,Installed
Argentina,2013,Historical Primary,Centralised,Annual,1.8,DC,Confirmed,Installed
Argentina,2013,Historical Primary,Off-grid,Annual,0.2,DC,Confirmed,Installed
Argentina,2014,Historical Primary,Total,Annual,1,DC,Confirmed,Installed
Argentina,2014,Historical Primary,Centralised,Annual,0.9,DC,Confirmed,Installed
Argentina,2014,Historical Primary,Off-grid,Annual,0.1,DC,Confirmed,Installed
Argentina,2015,Historical Primary,Total,Annual,2,DC,Confirmed,Installed
Argentina,2015,Historical Primary,Centralised,Annual,1.8,DC,Confirmed,Installed
Argentina,2015,Historical Primary,Off-grid,Annual,0.2,DC,Confirmed,Installed
Argentina,2016,Historical Primary,Total,Annual,0.4,DC,Confirmed,Installed
Argentina,2016,Historical Primary,Centralised,Annual,0.38,DC,Confirmed,Installed
Argentina,2016,Historical Primary,Off-grid,Annual,0.02,DC,Confirmed,Installed
