date,base_price,unit
2019-01-02,0.192,US$/Wp
2019-01-02,0.211,US$/Wp
2019-07-31,0.207,US$/Wp
2019-07-31,0.241,US$/Wp
2019-10-16,0.198,US$/Wp
2019-10-16,0.221,US$/Wp
2019-10-23,0.198,US$/Wp
2019-10-23,0.219,US$/Wp
2019-10-30,0.197,US$/Wp
2019-10-30,0.218,US$/Wp
2019-11-06,0.196,US$/Wp
2019-11-06,0.217,US$/Wp
2019-11-13,0.195,US$/Wp
2019-11-13,0.216,US$/Wp
2019-11-20,0.194,US$/Wp
2019-11-20,0.213,US$/Wp
2019-11-27,0.193,US$/Wp
2019-11-27,0.213,US$/Wp
2019-12-04,0.192,US$/Wp
2019-12-04,0.211,US$/Wp
2019-12-11,0.192,US$/Wp
2019-12-11,0.211,US$/Wp
2019-12-18,0.192,US$/Wp
2019-12-18,0.211,US$/Wp
2020-01-08,0.191,US$/Wp
2020-01-08,0.21,US$/Wp
2020-01-15,0.191,US$/Wp
2020-01-15,0.21,US$/Wp
2020-01-22,0.191,US$/Wp
2020-01-22,0.21,US$/Wp
2020-01-29,0.191,US$/Wp
2020-01-29,0.21,US$/Wp
2020-02-05,0.191,US$/Wp
2020-02-05,0.21,US$/Wp
2020-02-12,0.191,US$/Wp
2020-02-12,0.21,US$/Wp
2020-02-19,0.19,US$/Wp
2020-02-19,0.209,US$/Wp
2020-02-26,0.19,US$/Wp
2020-02-26,0.207,US$/Wp
2020-03-04,0.19,US$/Wp
2020-03-04,0.206,US$/Wp
2020-03-11,0.187,US$/Wp
2020-03-11,0.204,US$/Wp
2020-03-18,0.183,US$/Wp
2020-03-18,0.202,US$/Wp
2020-03-25,0.181,US$/Wp
2020-03-25,0.2,US$/Wp
2020-04-08,0.176,US$/Wp
2020-04-08,0.195,US$/Wp
2020-04-15,0.175,US$/Wp
2020-04-15,0.193,US$/Wp
2020-04-22,0.174,US$/Wp
2020-04-22,0.192,US$/Wp
2020-04-29,0.174,US$/Wp
2020-04-29,0.192,US$/Wp
2020-05-06,0.173,US$/Wp
2020-05-06,0.19,US$/Wp
2020-05-13,0.172,US$/Wp
2020-05-13,0.189,US$/Wp
2020-05-20,0.168,US$/Wp
2020-05-20,0.184,US$/Wp
2020-05-27,0.165,US$/Wp
2020-05-27,0.18,US$/Wp
2020-06-03,0.163,US$/Wp
2020-06-03,0.177,US$/Wp
2020-06-10,0.162,US$/Wp
2020-06-10,0.175,US$/Wp
