date,base_price,unit,region
2019-01-02,0.238,US$/Wp,India
2019-07-24,0.267,US$/Wp,India
2019-07-31,0.267,US$/Wp,India
2019-09-04,0.267,US$/Wp,India
2019-09-18,0.267,US$/Wp,India
2019-10-09,0.26,US$/Wp,India
2019-10-16,0.258,US$/Wp,India
2019-10-23,0.25,US$/Wp,India
2019-10-30,0.247,US$/Wp,India
2019-11-06,0.242,US$/Wp,India
2019-11-13,0.24,US$/Wp,India
2019-11-20,0.239,US$/Wp,India
2019-11-27,0.239,US$/Wp,India
2019-12-04,0.238,US$/Wp,India
2019-12-11,0.238,US$/Wp,India
2019-12-18,0.238,US$/Wp,India
2020-01-08,0.232,US$/Wp,India
2020-01-15,0.23,US$/Wp,India
2020-01-22,0.23,US$/Wp,India
2020-02-05,0.23,US$/Wp,India
2020-02-12,0.23,US$/Wp,India
2020-02-19,0.23,US$/Wp,India
2020-02-26,0.237,US$/Wp,India
2020-03-04,0.237,US$/Wp,India
2020-03-25,0.226,US$/Wp,India
2020-04-08,0.226,US$/Wp,India
2020-04-15,0.226,US$/Wp,India
2020-04-22,0.226,US$/Wp,India
2020-04-29,0.226,US$/Wp,India
2020-05-06,0.226,US$/Wp,India
2020-05-13,0.226,US$/Wp,India
2020-05-20,0.226,US$/Wp,India
2020-05-27,0.22,US$/Wp,India
2020-06-03,0.217,US$/Wp,India
2020-06-10,0.213,US$/Wp,India
2020-06-17,0.212,US$/Wp,India
2020-06-24,0.21,US$/Wp,India
2020-07-01,0.209,US$/Wp,India
2020-07-08,0.209,US$/Wp,India
2020-07-22,0.209,US$/Wp,India
2020-07-29,0.209,US$/Wp,India
2020-08-05,0.209,US$/Wp,India
2020-08-12,0.209,US$/Wp,India
2020-08-19,0.209,US$/Wp,India
2020-09-02,0.209,US$/Wp,India
2020-09-16,0.216,US$/Wp,India
2020-09-23,0.216,US$/Wp,India
2020-09-30,0.216,US$/Wp,India
2020-10-07,0.216,US$/Wp,India
2020-10-14,0.216,US$/Wp,India
2020-10-21,0.216,US$/Wp,India
2020-10-28,0.216,US$/Wp,India
2020-11-04,0.216,US$/Wp,India
2020-11-11,0.216,US$/Wp,India
2020-11-18,0.216,US$/Wp,India
2020-11-25,0.216,US$/Wp,India
2020-12-02,0.216,US$/Wp,India
2020-12-09,0.216,US$/Wp,India
2020-12-23,0.216,US$/Wp,India
2020-12-30,0.216,US$/Wp,India
