date,avg_base_price
2019-01-02,0.238
2019-07-24,0.267
2019-07-31,0.267
2019-09-04,0.267
2019-09-18,0.267
2019-10-09,0.26
2019-10-16,0.258
2019-10-23,0.25
2019-10-30,0.247
2019-11-06,0.242
2019-11-13,0.24
2019-11-20,0.239
2019-11-27,0.239
2019-12-04,0.238
2019-12-11,0.238
2019-12-18,0.238
2020-01-08,0.232
2020-01-15,0.23
2020-01-22,0.23
2020-02-05,0.23
2020-02-12,0.23
2020-02-19,0.23
2020-02-26,0.237
2020-03-04,0.237
2020-03-25,0.226
2020-04-08,0.226
2020-04-15,0.226
2020-04-22,0.226
2020-04-29,0.226
2020-05-06,0.226
2020-05-13,0.226
2020-05-20,0.226
2020-05-27,0.22
2020-06-03,0.217
2020-06-10,0.213
2020-06-17,0.212
2020-06-24,0.21
2020-07-01,0.209
2020-07-08,0.209
2020-07-22,0.209
2020-07-29,0.209
2020-08-05,0.209
2020-08-12,0.209
2020-08-19,0.209
2020-09-02,0.209
2020-09-16,0.216
2020-09-23,0.216
2020-09-30,0.216
2020-10-07,0.216
2020-10-14,0.216
2020-10-21,0.216
2020-10-28,0.216
2020-11-04,0.216
2020-11-11,0.216
2020-11-18,0.216
2020-11-25,0.216
2020-12-02,0.216
2020-12-09,0.216
2020-12-23,0.216
2020-12-30,0.216
2021-01-06,0.216
2021-01-13,0.216
2021-01-20,0.216
2021-01-27,0.216
2021-02-03,0.216
2021-02-10,0.216
2021-02-17,0.216
2021-02-24,0.216
2021-03-03,0.216
2021-03-10,0.216
2021-03-17,0.217
2021-03-24,0.217
2021-03-31,0.217
2021-04-07,0.225
2021-04-14,0.23
2021-04-21,0.231
2021-04-28,0.232
2021-05-05,0.238
2021-05-12,0.24
2021-05-19,0.24
2021-05-26,0.24
2021-06-02,0.242
2021-06-09,0.242
2021-06-16,0.242
2021-06-23,0.242
2021-06-30,0.242
2021-07-07,0.242
2021-07-14,0.242
2021-07-21,0.242
2021-07-28,0.242
2021-08-04,0.24
2021-08-11,0.24
2021-08-18,0.24
2021-08-25,0.24
2021-09-01,0.24
2021-09-08,0.22499999999999998
2021-09-15,0.22849999999999998
2021-09-22,0.22849999999999998
2021-09-29,0.23249999999999998
2021-10-06,0.23249999999999998
2021-10-13,0.245
2021-10-20,0.2525
2021-10-27,0.2525
2021-11-03,0.2525
2021-11-10,0.255
2021-11-17,0.255
2021-11-24,0.255
2021-12-01,0.255
2021-12-08,0.2525
2021-12-15,0.25
2021-12-22,0.25
2021-12-29,0.25
2022-01-05,0.25
2022-01-12,0.25
2022-01-19,0.25
2022-01-26,0.25
2022-02-02,0.25
2022-02-09,0.25
2022-02-16,0.2575
2022-02-23,0.2575
2022-03-02,0.2575
2022-03-09,0.26
2022-03-16,0.2575
2022-03-23,0.255
2022-03-30,0.255
2022-04-06,0.255
2022-04-13,0.255
2022-04-20,0.2625
2022-04-27,0.2625
2022-05-04,0.2625
2022-05-11,0.265
2022-05-18,0.265
2022-05-25,0.265
2022-06-01,0.265
2022-06-08,0.265
2022-06-15,0.265
2022-06-22,0.265
2022-06-29,0.265
2022-07-06,0.265
2022-07-13,0.265
2022-07-20,0.265
2022-07-27,0.265
2022-08-03,0.265
2022-08-10,0.265
2022-08-17,0.265
2022-08-24,0.265
2022-08-31,0.265
2022-09-07,0.265
2022-09-14,0.265
2022-09-21,0.265
2022-09-28,0.265
2022-10-05,0.265
2022-10-12,0.305
2022-10-19,0.30000000000000004
2022-10-26,0.34
2022-11-02,0.34
2022-11-09,0.34
2022-11-16,0.34
2022-11-23,0.34
2022-11-30,0.34
2022-12-07,0.34
2022-12-14,0.34
2022-12-21,0.34
2022-12-28,0.34
2023-01-04,0.34
2023-01-11,0.31
2023-01-18,0.31
2023-01-25,0.31
2023-02-01,0.31
2023-02-08,0.31
2023-02-15,0.31
2023-02-22,0.31
2023-03-01,0.31
2023-03-08,0.31
2023-03-15,0.3
2023-03-22,0.3
2023-03-29,0.3
