date,base_price,unit,region
2020-12-02,0.6,US$/pce,China
2020-12-02,0.85,US$/pce,China
2020-12-09,0.6,US$/pce,China
2020-12-09,0.85,US$/pce,China
2020-12-23,0.6,US$/pce,China
2020-12-23,0.85,US$/pce,China
2020-12-30,0.6,US$/pce,China
2020-12-30,0.85,US$/pce,China
2021-01-06,0.6,US$/pce,China
2021-01-06,0.85,US$/pce,China
2021-01-13,0.6,US$/pce,China
2021-01-13,0.85,US$/pce,China
2021-01-20,0.6,US$/pce,China
2021-01-20,0.85,US$/pce,China
2021-01-27,0.6,US$/pce,China
2021-01-27,0.85,US$/pce,China
2021-02-03,0.6,US$/pce,China
2021-02-03,0.85,US$/pce,China
2021-02-10,0.63,US$/pce,China
2021-02-10,0.87,US$/pce,China
2021-02-17,0.63,US$/pce,China
2021-02-17,0.87,US$/pce,China
2021-02-24,0.63,US$/pce,China
2021-02-24,0.88,US$/pce,China
2021-03-03,0.68,US$/pce,China
2021-03-03,0.94,US$/pce,China
2021-03-10,0.68,US$/pce,China
2021-03-10,0.95,US$/pce,China
2021-03-17,0.7,US$/pce,China
2021-03-17,0.95,US$/pce,China
2021-03-24,0.69,US$/pce,China
2021-03-24,0.94,US$/pce,China
2021-03-31,0.69,US$/pce,China
2021-03-31,0.94,US$/pce,China
2021-04-07,0.69,US$/pce,China
2021-04-07,0.94,US$/pce,China
2021-04-14,0.69,US$/pce,China
2021-04-14,0.97,US$/pce,China
2021-04-21,0.75,US$/pce,China
2021-04-21,0.98,US$/pce,China
2021-04-28,0.75,US$/pce,China
2021-04-28,1.01,US$/pce,China
2021-05-05,0.75,US$/pce,China
2021-05-05,1.01,US$/pce,China
2021-05-12,0.76,US$/pce,China
2021-05-12,1.12,US$/pce,China
2021-05-19,0.84,US$/pce,China
2021-05-19,1.12,US$/pce,China
2021-05-26,0.92,US$/pce,China
2021-05-26,1.22,US$/pce,China
2021-06-02,0.92,US$/pce,China
2021-06-02,1.29,US$/pce,China
2021-06-09,0.92,US$/pce,China
2021-06-09,1.29,US$/pce,China
2021-06-16,0.91,US$/pce,China
2021-06-16,1.27,US$/pce,China
2021-06-23,0.91,US$/pce,China
2021-06-23,1.27,US$/pce,China
2021-06-30,0.91,US$/pce,China
2021-06-30,1.16,US$/pce,China
2021-07-07,0.91,US$/pce,China
2021-07-07,1.16,US$/pce,China
2021-07-14,0.91,US$/pce,China
2021-07-14,1.16,US$/pce,China
2021-07-21,0.91,US$/pce,China
2021-07-21,1.16,US$/pce,China
2021-07-28,0.91,US$/pce,China
2021-07-28,1.17,US$/pce,China
2021-08-04,0.91,US$/pce,China
2021-08-04,1.17,US$/pce,China
2021-08-11,0.91,US$/pce,China
2021-08-11,1.23,US$/pce,China
2021-08-11,0.91,US$/pce,China
2021-08-11,1.23,US$/pce,China
2021-08-18,0.91,US$/pce,China
2021-08-18,1.23,US$/pce,China
2021-08-25,0.94,US$/pce,China
2021-08-25,1.23,US$/pce,China
2021-09-01,0.95,US$/pce,China
2021-09-01,1.23,US$/pce,China
2021-09-08,0.95,US$/pce,China
2021-09-08,1.23,US$/pce,China
2021-09-08,0.78,US$/pce,China
2021-09-15,0.99,US$/pce,China
2021-09-15,1.26,US$/pce,China
2021-09-15,0.78,US$/pce,China
2021-09-22,0.99,US$/pce,China
2021-09-22,1.29,US$/pce,China
2021-09-22,0.81,US$/pce,China
2021-09-29,0.99,US$/pce,China
2021-09-29,1.29,US$/pce,China
2021-09-29,0.81,US$/pce,China
2021-10-06,0.99,US$/pce,China
2021-10-06,1.29,US$/pce,China
2021-10-06,0.81,US$/pce,China
2021-10-13,1.07,US$/pce,China
2021-10-13,1.41,US$/pce,China
2021-10-13,0.87,US$/pce,China
2021-10-20,1.08,US$/pce,China
2021-10-20,1.42,US$/pce,China
2021-10-20,0.89,US$/pce,China
2021-10-27,0.86,US$/pce,China
2021-10-27,1.07,US$/pce,China
2021-10-27,1.42,US$/pce,China
2021-10-27,0.89,US$/pce,China
2021-11-03,0.86,US$/pce,China
2021-11-03,1.07,US$/pce,China
2021-11-03,1.42,US$/pce,China
2021-11-03,0.89,US$/pce,China
2021-11-10,0.87,US$/pce,China
2021-11-10,1.08,US$/pce,China
2021-11-10,1.43,US$/pce,China
2021-11-10,0.89,US$/pce,China
2021-11-17,0.87,US$/pce,China
2021-11-17,1.07,US$/pce,China
2021-11-17,1.42,US$/pce,China
2021-11-17,0.89,US$/pce,China
2021-11-24,0.87,US$/pce,China
2021-11-24,1.07,US$/pce,China
2021-11-24,1.43,US$/pce,China
2021-11-24,0.89,US$/pce,China
2021-12-01,0.87,US$/pce,China
2021-12-01,1.07,US$/pce,China
2021-12-01,1.43,US$/pce,China
2021-12-01,0.89,US$/pce,China
2021-12-08,0.806,US$/pce,China
2021-12-08,0.987,US$/pce,China
2021-12-08,1.366,US$/pce,China
2021-12-08,0.88,US$/pce,China
2021-12-08,0.87,US$/pce,China
2021-12-15,0.8,US$/pce,China
2021-12-15,0.9,US$/pce,China
2021-12-15,1.29,US$/pce,China
2021-12-15,0.78,US$/pce,China
2021-12-22,0.76,US$/pce,China
2021-12-22,0.89,US$/pce,China
2021-12-22,1.26,US$/pce,China
2021-12-22,0.78,US$/pce,China
2021-12-22,0.78,US$/pce,China
2021-12-29,0.75,US$/pce,China
2021-12-29,0.89,US$/pce,China
2021-12-29,1.21,US$/pce,China
2021-12-29,0.78,US$/pce,China
2021-12-29,0.78,US$/pce,China
2022-01-05,0.76,US$/pce,China
2022-01-05,0.92,US$/pce,China
2022-01-05,1.21,US$/pce,China
2022-01-05,0.78,US$/pce,China
2022-01-05,0.78,US$/pce,China
2022-01-12,0.75,US$/pce,China
2022-01-12,0.92,US$/pce,China
2022-01-12,1.21,US$/pce,China
2022-01-12,0.78,US$/pce,China
2022-01-19,0.75,US$/pce,China
2022-01-19,0.96,US$/pce,China
2022-01-19,1.27,US$/pce,China
2022-01-19,0.81,US$/pce,China
2022-01-26,0.75,US$/pce,China
2022-01-26,0.97,US$/pce,China
2022-01-26,1.27,US$/pce,China
2022-01-26,0.81,US$/pce,China
2022-02-02,0.97,US$/pce,China
2022-02-02,1.27,US$/pce,China
2022-02-02,0.81,US$/pce,China
2022-02-09,0.99,US$/pce,China
2022-02-09,1.31,US$/pce,China
2022-02-09,0.83,US$/pce,China
2022-02-16,0.99,US$/pce,China
2022-02-16,1.32,US$/pce,China
2022-02-16,0.84,US$/pce,China
2022-02-23,1.02,US$/pce,China
2022-02-23,1.35,US$/pce,China
2022-02-23,0.85,US$/pce,China
2022-03-02,1.03,US$/pce,China
2022-03-02,1.38,US$/pce,China
2022-03-02,0.86,US$/pce,China
2022-03-09,1.04,US$/pce,China
2022-03-09,1.39,US$/pce,China
2022-03-09,0.86,US$/pce,China
2022-03-16,1.04,US$/pce,China
2022-03-16,1.39,US$/pce,China
2022-03-16,0.86,US$/pce,China
2022-03-23,1.04,US$/pce,China
2022-03-23,1.39,US$/pce,China
2022-03-23,0.86,US$/pce,China
2022-03-30,1.04,US$/pce,China
2022-03-30,1.39,US$/pce,China
2022-03-30,0.87,US$/pce,China
2022-04-06,1.06,US$/pce,China
2022-04-06,1.42,US$/pce,China
2022-04-06,0.87,US$/pce,China
2022-04-13,1.06,US$/pce,China
2022-04-13,1.42,US$/pce,China
2022-04-13,0.89,US$/pce,China
2022-04-20,1.03,US$/pce,China
2022-04-20,1.37,US$/pce,China
2022-04-20,0.86,US$/pce,China
2022-04-27,1.03,US$/pce,China
2022-04-27,1.37,US$/pce,China
2022-04-27,0.86,US$/pce,China
2022-05-04,1.03,US$/pce,China
2022-05-04,1.37,US$/pce,China
2022-05-04,0.84,US$/pce,China
2022-05-11,1.0,US$/pce,China
2022-05-11,1.33,US$/pce,China
2022-05-11,0.84,US$/pce,China
2022-05-18,1.02,US$/pce,China
2022-05-18,1.36,US$/pce,China
2022-05-18,0.86,US$/pce,China
2022-05-25,1.02,US$/pce,China
2022-05-25,1.37,US$/pce,China
2022-05-25,0.86,US$/pce,China
2022-06-01,1.02,US$/pce,China
