date,base_price
2019-01-02,0.192
2019-01-02,0.211
2019-07-31,0.207
2019-07-31,0.241
2019-10-16,0.198
2019-10-16,0.221
2019-10-23,0.198
2019-10-23,0.219
2019-10-30,0.197
2019-10-30,0.218
2019-11-06,0.196
2019-11-06,0.217
2019-11-13,0.195
2019-11-13,0.216
2019-11-20,0.194
2019-11-20,0.213
2019-11-27,0.193
2019-11-27,0.213
2019-12-04,0.192
2019-12-04,0.211
2019-12-11,0.192
2019-12-11,0.211
2019-12-18,0.192
2019-12-18,0.211
2020-01-08,0.191
2020-01-08,0.21
2020-01-15,0.191
2020-01-15,0.21
2020-01-22,0.191
2020-01-22,0.21
2020-01-29,0.191
2020-01-29,0.21
2020-02-05,0.191
2020-02-05,0.21
2020-02-12,0.191
2020-02-12,0.21
2020-02-19,0.19
2020-02-19,0.209
2020-02-26,0.19
2020-02-26,0.207
2020-03-04,0.19
2020-03-04,0.206
2020-03-11,0.187
2020-03-11,0.204
2020-03-18,0.183
2020-03-18,0.202
2020-03-25,0.181
2020-03-25,0.2
2020-04-08,0.176
2020-04-08,0.195
2020-04-15,0.175
2020-04-15,0.193
2020-04-22,0.174
2020-04-22,0.192
2020-04-29,0.174
2020-04-29,0.192
2020-05-06,0.173
2020-05-06,0.19
2020-05-13,0.172
2020-05-13,0.189
2020-05-20,0.168
2020-05-20,0.184
2020-05-27,0.165
2020-05-27,0.18
2020-06-03,0.163
2020-06-03,0.177
2020-06-10,0.162
2020-06-10,0.175
2020-06-17,0.162
2020-06-17,0.197
2020-06-17,0.173
2020-06-24,0.161
2020-06-24,0.195
2020-06-24,0.172
2020-07-01,0.161
2020-07-01,0.171
2020-07-08,0.16
2020-07-08,0.17
2020-07-22,0.16
2020-07-22,0.192
2020-07-22,0.17
2020-07-29,0.164
2020-07-29,0.194
2020-07-29,0.175
2020-08-05,0.165
2020-08-05,0.195
2020-08-05,0.179
2020-08-12,0.167
2020-08-12,0.196
2020-08-12,0.182
2020-08-19,0.167
2020-08-19,0.196
2020-08-19,0.182
2020-09-02,0.167
2020-09-02,0.196
2020-09-02,0.182
2020-09-16,0.171
2020-09-16,0.203
2020-09-16,0.192
2020-09-23,0.171
2020-09-23,0.205
2020-09-23,0.192
2020-09-30,0.17
2020-09-30,0.205
2020-09-30,0.191
2020-10-07,0.17
2020-10-07,0.205
2020-10-07,0.191
2020-10-14,0.17
2020-10-14,0.205
2020-10-14,0.192
2020-10-21,0.173
2020-10-21,0.205
2020-10-21,0.196
2020-10-28,0.172
2020-10-28,0.205
2020-10-28,0.195
2020-11-04,0.171
2020-11-04,0.205
2020-11-04,0.194
2020-11-11,0.173
2020-11-11,0.208
2020-11-11,0.197
2020-11-18,0.174
2020-11-18,0.21
2020-11-18,0.198
2020-11-25,0.173
2020-11-25,0.212
2020-11-25,0.197
2020-12-02,0.172
2020-12-02,0.213
2020-12-02,0.196
2020-12-02,0.232
2020-12-02,0.232
2020-12-09,0.171
2020-12-09,0.213
2020-12-09,0.27
2020-12-09,0.232
2020-12-09,0.27
2020-12-09,0.232
2020-12-23,0.168
2020-12-23,0.213
2020-12-23,0.27
2020-12-23,0.232
2020-12-23,0.27
2020-12-23,0.232
2020-12-30,0.169
2020-12-30,0.213
2020-12-30,0.27
2020-12-30,0.232
2020-12-30,0.27
2020-12-30,0.232
2021-01-06,0.168
2021-01-06,0.213
2021-01-06,0.27
2021-01-06,0.228
2021-01-06,0.27
2021-01-06,0.228
2021-01-13,0.167
2021-01-13,0.213
2021-01-13,0.27
2021-01-13,0.228
2021-01-13,0.27
2021-01-13,0.228
2021-01-20,0.167
2021-01-20,0.213
2021-01-20,0.26
2021-01-20,0.228
2021-01-20,0.26
2021-01-20,0.228
2021-01-27,0.167
2021-01-27,0.213
2021-01-27,0.26
2021-01-27,0.225
2021-01-27,0.26
2021-01-27,0.225
2021-02-03,0.167
2021-02-03,0.213
2021-02-03,0.26
2021-02-03,0.225
2021-02-03,0.26
2021-02-03,0.225
2021-02-10,0.177
2021-02-10,0.213
2021-02-10,0.26
2021-02-10,0.225
2021-02-10,0.26
2021-02-10,0.225
2021-02-17,0.177
2021-02-17,0.213
2021-02-17,0.26
2021-02-17,0.225
2021-02-17,0.26
2021-02-17,0.225
2021-02-24,0.177
2021-02-24,0.213
2021-02-24,0.26
2021-02-24,0.225
2021-02-24,0.26
2021-02-24,0.225
2021-03-03,0.182
2021-03-03,0.215
2021-03-03,0.26
2021-03-03,0.225
2021-03-03,0.26
2021-03-03,0.225
2021-03-10,0.18
2021-03-10,0.216
2021-03-10,0.26
2021-03-10,0.226
2021-03-10,0.26
2021-03-10,0.226
2021-03-17,0.178
2021-03-17,0.217
2021-03-17,0.26
2021-03-17,0.227
2021-03-17,0.26
2021-03-17,0.227
2021-03-24,0.177
2021-03-24,0.218
2021-03-24,0.26
2021-03-24,0.23
2021-03-24,0.26
2021-03-24,0.23
2021-03-31,0.176
2021-03-31,0.218
2021-03-31,0.26
2021-03-31,0.23
2021-03-31,0.26
2021-03-31,0.23
2021-04-07,0.175
2021-04-07,0.218
2021-04-07,0.26
2021-04-07,0.23
2021-04-07,0.26
2021-04-07,0.23
2021-04-14,0.175
2021-04-14,0.218
2021-04-14,0.26
2021-04-14,0.23
2021-04-14,0.26
2021-04-14,0.23
2021-04-21,0.181
2021-04-21,0.218
2021-04-21,0.27
2021-04-21,0.23
2021-04-21,0.27
2021-04-21,0.23
2021-04-28,0.181
2021-04-28,0.218
2021-04-28,0.27
2021-04-28,0.23
2021-04-28,0.27
2021-04-28,0.23
2021-05-05,0.181
2021-05-05,0.27
2021-05-05,0.27
