date,base_price,unit
2019-01-02,0.206,US$/Wp
2019-01-02,0.227,US$/Wp
2019-07-24,0.22,US$/Wp
2019-07-24,0.27,US$/Wp
2019-07-31,0.22,US$/Wp
2019-07-31,0.269,US$/Wp
2019-09-04,0.22,US$/Wp
2019-09-04,0.258,US$/Wp
2019-09-18,0.22,US$/Wp
2019-09-18,0.257,US$/Wp
2019-10-09,0.22,US$/Wp
2019-10-09,0.257,US$/Wp
2019-10-16,0.22,US$/Wp
2019-10-16,0.257,US$/Wp
2019-10-23,0.22,US$/Wp
2019-10-23,0.25,US$/Wp
2019-10-30,0.22,US$/Wp
2019-10-30,0.243,US$/Wp
2019-11-06,0.22,US$/Wp
2019-11-06,0.241,US$/Wp
2019-11-13,0.218,US$/Wp
2019-11-13,0.239,US$/Wp
2019-11-20,0.216,US$/Wp
2019-11-20,0.237,US$/Wp
2019-11-27,0.215,US$/Wp
2019-11-27,0.236,US$/Wp
2019-12-04,0.214,US$/Wp
2019-12-04,0.235,US$/Wp
2019-12-11,0.212,US$/Wp
2019-12-11,0.232,US$/Wp
2019-12-18,0.21,US$/Wp
2019-12-18,0.23,US$/Wp
2020-01-08,0.202,US$/Wp
2020-01-08,0.226,US$/Wp
2020-01-15,0.2,US$/Wp
2020-01-15,0.225,US$/Wp
2020-01-22,0.2,US$/Wp
2020-01-22,0.225,US$/Wp
2020-02-05,0.2,US$/Wp
2020-02-05,0.225,US$/Wp
2020-02-12,0.2,US$/Wp
2020-02-12,0.225,US$/Wp
2020-02-19,0.2,US$/Wp
2020-02-19,0.225,US$/Wp
2020-02-26,0.2,US$/Wp
2020-02-26,0.225,US$/Wp
2020-03-04,0.2,US$/Wp
2020-03-04,0.225,US$/Wp
2020-03-25,0.198,US$/Wp
2020-03-25,0.218,US$/Wp
2020-04-08,0.196,US$/Wp
2020-04-08,0.215,US$/Wp
2020-04-15,0.194,US$/Wp
2020-04-15,0.213,US$/Wp
2020-04-22,0.192,US$/Wp
2020-04-22,0.211,US$/Wp
2020-04-29,0.19,US$/Wp
2020-04-29,0.209,US$/Wp
2020-05-06,0.188,US$/Wp
2020-05-06,0.208,US$/Wp
2020-05-13,0.186,US$/Wp
2020-05-13,0.207,US$/Wp
2020-05-20,0.183,US$/Wp
2020-05-20,0.204,US$/Wp
2020-05-27,0.18,US$/Wp
2020-05-27,0.203,US$/Wp
2020-06-03,0.179,US$/Wp
2020-06-03,0.201,US$/Wp
2020-06-10,0.177,US$/Wp
2020-06-10,0.199,US$/Wp
2020-06-17,0.176,US$/Wp
2020-06-17,0.198,US$/Wp
2020-06-24,0.174,US$/Wp
